epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
15,138.837,0.83421,1.49082,1.26779,0.76099,0.83159,0.92342,0.70215,0.61364,2.17135,1.27272,0.000232879,0.000232879,0.000232879
16,147.31,0.7162,1.35202,1.20317,0.76291,0.90679,0.9029,0.72393,0.62935,2.10841,1.27489,0.00024212,0.00024212,0.00024212
17,155.6,0.66548,1.40802,1.15873,0.87599,0.8027,0.93096,0.73767,0.6699,2.06229,1.34482,0.000250482,0.000250482,0.000250482
18,163.947,0.65726,1.23775,1.20684,0.85843,0.81164,0.89451,0.70728,0.69081,2.06754,1.36367,0.000257963,0.000257963,0.000257963
19,172.686,0.62919,1.21542,1.1451,0.86254,0.80417,0.87293,0.68408,0.73572,2.23319,1.43664,0.000264565,0.000264565,0.000264565
20,181.426,0.65846,1.23041,1.09826,0.85418,0.839,0.91444,0.7078,0.7621,2.30303,1.42984,0.000270286,0.000270286,0.000270286
21,190.022,0.67707,1.26431,1.17441,0.84518,0.89162,0.94792,0.72162,0.78007,2.25285,1.44015,0.000275128,0.000275128,0.000275128
22,198.541,0.70012,1.02063,1.18821,0.90054,0.91108,0.94525,0.74955,0.77358,2.09444,1.41087,0.00027909,0.00027909,0.00027909
23,207.234,0.81305,1.24941,1.18399,0.89534,0.90903,0.97025,0.76462,0.75211,2.23412,1.34682,0.000282172,0.000282172,0.000282172
24,217.194,0.65589,1.11847,1.16075,0.87925,0.89501,0.97292,0.75649,0.78378,2.55512,1.39935,0.000284374,0.000284374,0.000284374
25,225.979,0.70676,1.24166,1.17691,0.85413,0.85764,0.95194,0.72293,0.7781,2.94874,1.38531,0.000285696,0.000285696,0.000285696
26,234.705,0.58051,1.04643,1.083,0.83307,0.85797,0.93875,0.68364,0.75892,3.05618,1.40881,0.000286138,0.000286138,0.000286138
27,243.278,0.64795,1.15138,1.11879,0.77831,0.89883,0.9325,0.64965,0.83354,2.79509,1.50055,0.0002857,0.0002857,0.0002857
28,251.867,0.67704,1.27,1.19137,0.77831,0.89883,0.9325,0.64965,0.83354,2.79509,1.50055,0.000284383,0.000284383,0.000284383
29,260.43,0.66033,1.08658,1.16511,0.89166,0.76238,0.94273,0.65477,0.85672,2.47527,1.5483,0.000282185,0.000282185,0.000282185
30,268.928,0.58673,1.31112,1.12437,0.80215,0.93055,0.94566,0.6917,0.83316,2.37484,1.52162,0.000279108,0.000279108,0.000279108
31,277.207,0.60411,1.00438,1.08142,0.80215,0.93055,0.94566,0.6917,0.83316,2.37484,1.52162,0.00027515,0.00027515,0.00027515
32,285.862,0.65493,1.11497,1.21945,0.92609,0.82749,0.9575,0.67124,0.86774,2.17014,1.55158,0.000270313,0.000270313,0.000270313
33,294.225,0.64309,1.01182,1.12074,0.89089,0.89078,0.97625,0.68712,0.87043,2.08903,1.56912,0.000264596,0.000264596,0.000264596
34,302.522,0.60626,1.16777,1.11265,0.89089,0.89078,0.97625,0.68712,0.87043,2.08903,1.56912,0.000257999,0.000257999,0.000257999
35,310.922,0.54107,0.96688,1.07392,0.83423,0.89063,0.96028,0.69314,0.82266,2.21977,1.49978,0.000250522,0.000250522,0.000250522
36,319.333,0.71494,1.17535,1.13897,0.80535,0.9217,0.96028,0.7238,0.802,2.23603,1.45295,0.000242165,0.000242165,0.000242165
37,327.773,0.63283,1.00076,1.10831,0.80535,0.9217,0.96028,0.7238,0.802,2.23603,1.45295,0.000232928,0.000232928,0.000232928
38,336.079,0.62556,1.12313,1.1651,0.83647,0.92206,0.96028,0.74224,0.75514,2.16062,1.39075,0.000222811,0.000222811,0.000222811
39,344.454,0.54432,1.0308,1.12521,0.93725,0.95,0.97278,0.76269,0.71859,1.99464,1.35256,0.000211814,0.000211814,0.000211814
40,352.881,0.64983,1.07604,1.14278,0.93725,0.95,0.97278,0.76269,0.71859,1.99464,1.35256,0.000199938,0.000199938,0.000199938
41,361.153,0.38923,1.83232,1.01983,0.91812,0.91884,0.97278,0.74932,0.70734,1.8741,1.34215,0.000187181,0.000187181,0.000187181
42,369.347,0.34381,1.12998,0.92304,0.87366,0.93825,0.96028,0.75562,0.70184,1.96274,1.32843,0.000173545,0.000173545,0.000173545
43,378.209,0.35637,1.18879,0.95598,0.87366,0.93825,0.96028,0.75562,0.70184,1.96274,1.32843,0.000159029,0.000159029,0.000159029
44,386.327,0.35364,1.24611,0.93721,0.88849,0.93303,0.96028,0.76545,0.72219,2.11625,1.34122,0.000143632,0.000143632,0.000143632
45,395.506,0.32612,1.30157,0.95513,0.88849,0.93303,0.96028,0.76545,0.72219,2.11625,1.34122,0.000127356,0.000127356,0.000127356
46,404.142,0.54968,1.85311,1.28703,0.91989,0.91417,0.94778,0.7615,0.75212,2.11692,1.38973,0.0001102,0.0001102,0.0001102
47,412.614,0.36043,1.39995,0.9416,0.91989,0.91417,0.94778,0.7615,0.75212,2.11692,1.38973,9.21641e-05,9.21641e-05,9.21641e-05
48,421.115,0.33148,1.33623,0.98026,0.89373,0.9577,0.95854,0.77479,0.74246,2.06918,1.38611,7.32482e-05,7.32482e-05,7.32482e-05
49,429.475,0.32146,1.22155,0.93953,0.89373,0.9577,0.95854,0.77479,0.74246,2.06918,1.38611,5.34524e-05,5.34524e-05,5.34524e-05
50,437.828,0.3548,1.23316,0.95509,0.89325,0.96337,0.95854,0.77763,0.72742,1.98723,1.35987,3.27767e-05,3.27767e-05,3.27767e-05
