epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.6625,0.88235,2.99834,1.34201,0.01,1,0.41365,0.262,0.85939,3.88901,1.59479,1.111e-05,1.111e-05,1.111e-05
2,27.95,0.99104,3.17888,1.52341,0.01065,1,0.46502,0.31944,0.80093,3.82868,1.5413,3.26701e-05,3.26701e-05,3.26701e-05
3,36.3821,0.76122,2.95033,1.26375,0.01076,1,0.46805,0.34279,0.74848,3.776,1.47293,5.33502e-05,5.33502e-05,5.33502e-05
4,44.9413,0.83649,3.08274,1.29698,0.96604,0.1875,0.49918,0.37883,0.75765,3.66415,1.43937,7.31505e-05,7.31505e-05,7.31505e-05
5,53.5397,0.75749,2.71561,1.23542,0.94762,0.1875,0.54323,0.42673,0.74113,3.51711,1.42971,9.20708e-05,9.20708e-05,9.20708e-05
6,62.7181,0.6167,2.38699,1.14251,0.91995,0.1875,0.64761,0.49915,0.77439,3.35307,1.43405,0.000110111,0.000110111,0.000110111
7,71.1703,0.62775,2.18448,1.12342,0.93403,0.25,0.76041,0.57795,0.75289,3.21284,1.44267,0.000127272,0.000127272,0.000127272
8,79.7807,0.89555,2.24444,1.34804,0.94144,0.39314,0.79361,0.58717,0.73858,3.10396,1.39739,0.000143552,0.000143552,0.000143552
9,88.1051,0.73034,2.17645,1.27479,0.79133,0.51086,0.84175,0.64109,0.69832,3.07745,1.34299,0.000158953,0.000158953,0.000158953
10,96.4985,0.7596,2.05843,1.28109,0.78924,0.58884,0.86211,0.67446,0.67649,2.94318,1.31492,0.000173474,0.000173474,0.000173474
11,104.904,0.60536,1.52034,1.07151,0.80628,0.75488,0.87681,0.69593,0.67108,2.77632,1.31601,0.000187115,0.000187115,0.000187115
12,113.478,0.77701,1.97175,1.28746,0.84678,0.82171,0.88968,0.73325,0.65315,2.51811,1.29154,0.000199876,0.000199876,0.000199876
13,122.014,0.67327,1.62072,1.14818,0.889,0.81093,0.89038,0.71459,0.64035,2.28119,1.27653,0.000211757,0.000211757,0.000211757
14,130.428,0.77466,1.37061,1.11848,0.94309,0.71084,0.92833,0.71093,0.65366,2.15988,1.29547,0.000222758,0.000222758,0.000222758
