epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.6011,0.85847,1.59161,1.3122,0.91245,0.61942,0.74095,0.57808,0.93049,2.45617,1.66047,1.25e-05,1.25e-05,1.25e-05
2,31.0367,0.95906,1.84947,1.50543,0.94892,0.62106,0.74787,0.59153,0.87694,2.48754,1.60858,3.67575e-05,3.67575e-05,3.67575e-05
3,39.5507,0.75825,1.37485,1.22075,0.84924,0.7055,0.7557,0.59959,0.8354,2.5338,1.54925,6.0025e-05,6.0025e-05,6.0025e-05
4,47.914,0.88182,1.97202,1.30563,0.84036,0.66723,0.77195,0.60848,0.78639,2.60047,1.45397,8.23025e-05,8.23025e-05,8.23025e-05
5,56.3228,0.75693,1.5346,1.23403,0.93827,0.68059,0.78024,0.59411,0.86786,2.69648,1.50533,0.00010359,0.00010359,0.00010359
6,65.3331,0.70808,1.33782,1.1575,0.9384,0.64878,0.86583,0.64802,0.86479,2.72594,1.52891,0.000123888,0.000123888,0.000123888
7,73.7546,0.65475,1.44819,1.11929,0.9118,0.62319,0.97,0.7406,0.80028,2.67888,1.5218,0.000143195,0.000143195,0.000143195
8,82.1089,0.88059,1.81517,1.30849,0.92799,0.6932,0.97417,0.74641,0.77451,2.48826,1.47947,0.000161513,0.000161513,0.000161513
9,90.2202,0.71882,1.54215,1.2037,0.88036,0.74349,0.96375,0.74384,0.77961,2.49318,1.48714,0.00017884,0.00017884,0.00017884
10,98.502,0.69738,1.43069,1.21415,0.86995,0.90943,0.9575,0.72343,0.74127,2.42267,1.44214,0.000195178,0.000195178,0.000195178
11,107.08,0.57127,1.06318,1.02387,0.83816,0.95,0.94583,0.75211,0.67135,2.35149,1.34114,0.000210525,0.000210525,0.000210525
12,115.931,0.71288,1.54443,1.24634,0.8119,0.87269,0.94479,0.78612,0.63301,2.30164,1.29807,0.000224883,0.000224883,0.000224883
13,124.265,0.62437,1.18619,1.11504,0.83995,0.82857,0.94194,0.78132,0.6136,2.26983,1.25629,0.00023825,0.00023825,0.00023825
14,132.769,0.7287,1.11235,1.08355,0.84156,0.81748,0.94024,0.77493,0.64853,2.22799,1.29504,0.000250627,0.000250627,0.000250627
15,141.348,0.76634,1.25967,1.20096,0.84927,0.82245,0.91886,0.76758,0.64725,2.25748,1.2933,0.000262015,0.000262015,0.000262015
16,149.923,0.66087,1.1547,1.15724,0.76846,0.85162,0.90503,0.75098,0.67664,2.27053,1.28862,0.000272412,0.000272412,0.000272412
17,158.576,0.68349,1.21692,1.14215,0.83705,0.72286,0.85842,0.72657,0.7067,2.30608,1.33555,0.00028182,0.00028182,0.00028182
18,167.071,0.68949,1.09504,1.22037,0.75408,0.77834,0.80436,0.64528,0.72816,2.37654,1.33894,0.000290237,0.000290237,0.000290237
19,175.607,0.5623,1.02153,1.07452,0.68419,0.86341,0.80387,0.65887,0.69907,2.41204,1.31341,0.000297665,0.000297665,0.000297665
20,184.041,0.63765,1.09954,1.08108,0.61927,0.80217,0.79136,0.65242,0.67014,2.28623,1.3055,0.000304103,0.000304103,0.000304103
21,192.339,0.70212,1.10643,1.19994,0.77614,0.90731,0.84607,0.66915,0.69731,2.03994,1.33944,0.00030955,0.00030955,0.00030955
22,200.978,0.64597,0.91189,1.12475,0.8824,0.88558,0.93452,0.75009,0.71724,1.7848,1.35699,0.000314008,0.000314008,0.000314008
23,209.719,0.73754,1.0838,1.11021,0.90292,0.93067,0.94083,0.75585,0.75304,1.71161,1.43055,0.000317475,0.000317475,0.000317475
24,218.264,0.61345,0.94694,1.10719,0.9478,0.90266,0.97292,0.76153,0.77279,1.81503,1.46499,0.000319953,0.000319953,0.000319953
25,228.291,0.70022,1.05646,1.1348,0.88882,0.92585,0.9575,0.74069,0.79163,1.90548,1.49107,0.00032144,0.00032144,0.00032144
26,237.096,0.55799,0.92114,1.07088,0.86504,0.91973,0.93923,0.7275,0.8195,1.94742,1.53591,0.000321938,0.000321938,0.000321938
27,245.652,0.59652,0.94254,1.07565,0.85491,0.91909,0.93563,0.71485,0.83099,1.90084,1.53566,0.000321445,0.000321445,0.000321445
28,254.079,0.61641,1.15751,1.13666,0.85491,0.91909,0.93563,0.71485,0.83099,1.90084,1.53566,0.000319962,0.000319962,0.000319962
29,262.589,0.65688,1.05148,1.16809,0.84007,0.92047,0.9344,0.70698,0.84023,1.89701,1.53431,0.00031749,0.00031749,0.00031749
30,271.521,0.59297,1.12808,1.10999,0.77871,0.91492,0.91417,0.68157,0.8736,1.94002,1.58482,0.000314028,0.000314028,0.000314028
31,280.044,0.56853,0.95583,1.06476,0.77871,0.91492,0.91417,0.68157,0.8736,1.94002,1.58482,0.000309575,0.000309575,0.000309575
32,288.545,0.71494,1.05078,1.25334,0.82787,0.90618,0.93009,0.70817,0.83883,2.03317,1.5395,0.000304132,0.000304132,0.000304132
33,296.926,0.61327,0.86893,1.09836,0.82967,0.88243,0.94635,0.7149,0.79817,2.04504,1.4887,0.0002977,0.0002977,0.0002977
34,305.365,0.57183,0.98415,1.0925,0.82967,0.88243,0.94635,0.7149,0.79817,2.04504,1.4887,0.000290277,0.000290277,0.000290277
35,313.722,0.57748,0.90743,1.09419,0.83775,0.89326,0.95816,0.74813,0.79881,2.0157,1.4768,0.000281865,0.000281865,0.000281865
36,322.434,0.63825,0.9794,1.07336,0.87584,0.88908,0.96773,0.75248,0.78537,1.91471,1.44812,0.000272463,0.000272463,0.000272463
37,332.783,0.65301,0.99725,1.12977,0.87584,0.88908,0.96773,0.75248,0.78537,1.91471,1.44812,0.00026207,0.00026207,0.00026207
38,343,0.63785,0.98242,1.15776,0.88032,0.89261,0.9575,0.75314,0.76564,1.78194,1.42683,0.000250687,0.000250687,0.000250687
